,Lr 0.1,Lr 0.0005,Lr 0.9
0,17.624409,21.438828,10.36554
1,16.41243,30.056522,13.609682
2,19.725254,25.511765,13.359586
3,13.613472,26.157784,12.715529
4,20.482899,21.771816,11.16663
5,17.9137,22.80387,12.99839
6,16.010942,27.699306,11.635126
7,16.876886,24.455952,14.083758
8,22.73302,23.489935,13.354907
9,18.413757,24.491058,14.790878
10,18.157843,22.913568,12.610251
11,20.960447,26.28811,13.525323
12,21.369347,28.149078,16.55234
13,16.600698,28.865597,11.154069
14,20.283003,20.732862,12.518785
15,22.015213,25.584032,14.174581
16,17.89294,27.527857,12.222775
17,18.42794,25.275358,12.398841
18,16.600819,25.419691,11.661699
19,16.038622,28.04983,10.629388
20,19.777523,24.749779,14.234116
21,18.50177,24.737318,11.064238
22,21.47608,28.143522,12.289521
23,23.987768,24.359339,13.348626
24,18.26724,30.418768,12.805554
25,16.968903,26.961226,15.338277
26,23.172874,23.482382,14.673163
27,20.80619,21.828276,11.585381
28,17.425615,22.3488,12.701716
29,14.595195,29.34354,13.872616
30,20.507248,21.569372,11.925053
31,16.471834,22.306122,13.153711
32,20.166986,34.77172,12.289411
33,20.598522,31.510515,13.880858
34,19.425652,28.383251,15.113652
35,20.728306,23.688578,13.81782
36,21.175463,30.261787,11.962766
37,18.636877,28.016314,13.4022255
38,22.866333,18.84979,13.703158
39,22.991018,19.183405,14.082267
40,19.368717,24.53361,12.678611
41,19.950691,27.214476,12.915016
42,17.966267,21.199923,14.31044
43,21.68871,19.803324,13.57483
44,17.191593,28.960798,13.979796
45,19.849392,24.750233,17.90947
46,20.785854,31.01168,16.436451
47,20.955427,25.366428,11.418078
48,16.82149,28.614416,14.108783
49,22.319807,29.478113,12.865501
50,20.186995,31.613747,17.7518
51,19.926743,18.501352,13.027282
52,20.262781,20.71096,12.06712
53,18.073801,20.840405,13.565551
54,18.403234,25.432598,11.907684
55,17.489817,26.003939,12.138225
56,19.340157,26.212452,12.280218
57,18.227283,26.875807,10.608324
58,20.6593,28.55203,17.143188
59,18.827776,27.02274,13.964577
60,22.411211,24.746534,13.622047
61,20.66117,26.74455,12.255208
62,18.973557,24.00639,14.457898
63,20.862226,30.329573,13.069546
64,21.588976,26.164347,13.66784
65,21.42274,28.807432,12.154452
66,19.67473,23.406412,13.726789
67,19.384396,26.09703,12.245089
68,22.170214,22.063793,13.20767
69,18.838518,27.382095,13.567909
70,19.374166,28.003357,13.760468
71,17.982328,22.160934,12.233269
72,18.12344,26.680038,13.214869
73,20.521141,27.62943,12.699809
74,21.75024,23.022753,14.3544035
75,17.882122,21.702126,14.064307
76,20.72865,23.34096,12.903261
77,16.62479,29.95288,10.0050125
78,18.393822,30.139791,12.49583
79,17.255903,25.628191,11.509635
80,17.709482,28.056871,14.298322
81,17.527987,29.86563,13.397762
82,12.922295,19.264196,12.740618
83,18.483192,25.012205,12.338435
84,15.138732,21.642431,13.213205
85,18.273924,22.526485,13.248768
86,21.233112,16.650845,14.41421
87,22.139654,24.049515,13.295114
88,21.756762,26.36185,11.143111
89,23.069029,26.224224,11.913342
90,18.288189,25.929094,13.668682
91,23.204662,25.122097,12.977846
92,21.41216,26.239304,13.711455
93,21.064568,24.437635,13.833031
94,20.126493,28.703262,12.118534
95,23.651724,28.875763,13.454336
96,21.886742,19.859703,13.574772
97,16.302814,19.382572,12.885365
98,17.802744,27.42685,14.828959
99,17.127892,17.932726,14.350556